,SMILES,predicted_affinity_score
66,CCC(CC)NC(=O)C1=C(N=C2C=C(C=CC2=C1)F)C,8.592920303344727
67,CCC(C)N(CC)C(=O)N(C)C1=CC=CC=C1C(=O)O,8.592687606811523
68,CCC(CC)N(C)S(=O)(=O)C1=CC2=C(CCN2)C=C1,8.591978073120117
69,CCC(C)(CC)NC(=O)C1=C(C2=C(S1)N=NC(=C2C)C)N,8.591798782348633
70,CCC(CC)N(C)C(=O)C1=C(C2=C(S1)C=C(C=C2)Cl)N,8.591649055480957
71,CCC(C)(CC)NC(=O)C1=C(C2=C(S1)C=C(N=C2C)C)N,8.591370582580566
72,CCC(CC)N(C)C(=O)C1=C(C2=C(S1)N=NC=C2)N,8.591355323791504
73,CCC(C)N(CC(=O)O)C(=O)N(C)C1=CC(=CC=C1)F,8.590970993041992
74,CCC(C)N(CC)C(=O)C1=NNC2=CC=CC=C21,8.590951919555664
75,CCC(CC)N(C)C(=O)C1=C(C2=C(S1)C=CC(=C2)Cl)N,8.590807914733887
76,CCN(CC)C(=O)C(C)NC(=O)C1=CC=CC=C1Cl,8.590519905090332
77,CCN(CC)C(=O)CN(C)C(=O)NC1=CC(=CC=C1)Cl,8.590493202209473
78,CCN(CC)CC(=O)NC1=CC=C(C=C1)Br.Cl,8.589996337890625
79,CCC(CC)NC(=O)C1=CN=C2C(=C1)C=NN2C(C)C,8.589861869812012
80,CCC(CC)NS(=O)(=O)C1=CC(=CC=C1)Br,8.589762687683105
81,CCN(CC)C(=O)C(C)NC(=O)C1=C(C=C(N=C1)C)Cl,8.58957290649414
82,CCC(CC)NC(=O)CN1C(=O)C2=CC=CC=C2C(=N1)C,8.589524269104004
83,CCN(CC)C(=O)C(C)NC(=O)C1=CC=C(C=C1)Br,8.589452743530273
84,CCC(C)(CC)NC(=O)C1=C(C2=C(S1)N(N=C2C)C)N,8.589119911193848
85,CCC(CC)NC(=O)C1=CN=C2C=CC=CN2C1=O,8.589041709899902
86,CCN(CC)C(=O)C(C)NC(=O)C1=CSC(=C1)Br,8.588907241821289
87,CCN(CC)C(=O)C(C)NC(=O)C1=CSC(=C1)Br,8.588907241821289
88,CCC(CC)N(C)S(=O)(=O)C1=CC2=C(C=C1)NCC2,8.588897705078125
89,CCC(CC)NC(=O)CN1C(=O)CSC2=CC=CC=C21,8.588878631591797
90,CCN(CC)C(=O)C(C)NC(=O)C1=CSC(=C1)Br,8.5886869430542
91,CCC(CC)NC(=O)C1=C(C=CC=C1Br)F,8.588431358337402
92,CCC(CC)N(C)C(=O)C1=CC(=NC2=CC=CC=C21)NC,8.588382720947266
93,CCC(CC)N(C)C(=O)C1CC2=CC=CC=C2NC1,8.587881088256836
94,CCC(CC)N(C)C(=O)C1=CC2=CC=CC=C2C=C1O,8.587677955627441
